Date,Open,High,Low,Close,Volume
10/18/2024,"584.07","585.39","582.58","584.59","37,416,801"
10/17/2024,"585.91","586.12","582.16","582.35","34,393,711"
10/16/2024,"579.78","582.83","578.96","582.30","30,725,439"
10/15/2024,"584.59","584.90","578.55","579.78","54,203,641"
10/14/2024,"581.22","585.27","580.73","584.32","36,217,219"
10/11/2024,"576.05","580.33","575.91","579.58","42,267,992"
10/10/2024,"575.77","577.58","574.49","576.13","44,138,059"
10/09/2024,"573.16","577.71","572.55","577.14","37,912,238"
10/08/2024,"570.42","573.78","569.53","573.17","37,398,688"
10/07/2024,"571.30","571.96","566.63","567.80","49,964,688"
10/04/2024,"572.35","573.36","568.10","572.98","43,005,191"
10/03/2024,"567.36","569.80","565.49","567.82","40,846,473"
10/02/2024,"567.71","569.90","565.27","568.86","38,097,801"
10/01/2024,"573.40","574.06","566.00","568.62","72,668,781"
09/30/2024,"570.42","574.38","568.08","573.76","63,655,449"
09/27/2024,"573.39","574.22","570.42","571.47","42,100,930"
09/26/2024,"574.38","574.71","569.90","572.30","48,336,000"
09/25/2024,"571.14","571.89","568.91","570.04","38,428,594"
09/24/2024,"570.48","571.36","567.60","571.30","46,805,672"
09/23/2024,"569.34","570.33","568.10","569.67","44,116,922"
09/20/2024,"567.84","569.31","565.17","568.25","77,503,109"
09/19/2024,"571.01","572.88","568.08","570.98","75,315,469"
09/18/2024,"563.74","568.69","560.83","561.40","59,044,941"
09/17/2024,"565.10","566.58","560.80","563.07","49,320,969"
09/16/2024,"561.74","563.11","559.90","562.84","36,656,121"
09/13/2024,"559.71","563.03","559.45","562.01","39,310,500"
09/12/2024,"555.01","559.40","552.74","559.09","51,892,738"
09/11/2024,"548.70","555.36","539.96","554.42","75,248,609"
09/10/2024,"548.36","549.15","543.38","548.79","36,394,578"
09/09/2024,"544.65","547.71","542.68","546.41","40,445,820"
09/06/2024,"549.94","551.60","539.44","540.36","68,493,805"
09/05/2024,"550.89","553.80","547.10","549.61","44,264,262"
09/04/2024,"550.20","554.43","549.46","550.95","47,224,941"
09/03/2024,"560.47","560.81","549.51","552.08","60,523,000"
08/30/2024,"560.77","564.20","557.14","563.68","62,700,113"
08/29/2024,"560.31","563.68","557.18","558.35","38,715,180"
08/28/2024,"561.21","561.65","555.04","558.30","41,066,020"
08/27/2024,"559.49","562.06","558.32","561.56","32,693,900"
08/26/2024,"563.18","563.91","559.05","560.79","35,788,609"
08/23/2024,"559.53","563.09","557.29","562.13","50,639,391"
08/22/2024,"562.56","563.18","554.98","556.22","56,121,461"
08/21/2024,"559.77","562.11","554.73","560.62","41,514,602"
08/20/2024,"559.15","560.84","557.33","558.70","33,732,262"
08/19/2024,"554.73","559.61","553.86","559.61","39,121,793"
08/16/2024,"551.42","555.02","551.26","554.31","44,430,727"
08/15/2024,"549.50","553.36","548.88","553.07","60,846,809"
08/14/2024,"542.85","544.96","540.12","543.75","42,446,930"
08/13/2024,"536.53","542.28","536.28","542.04","52,333,070"
08/12/2024,"534.21","535.73","530.95","533.27","42,542,070"
08/09/2024,"529.81","534.51","528.56","532.99","45,619,559"
08/08/2024,"523.91","531.29","521.84","530.65","63,276,594"
08/07/2024,"528.47","531.59","518.05","518.66","70,698,336"
08/06/2024,"519.22","529.75","517.87","522.15","84,826,312"
08/05/2024,"511.64","523.58","510.27","517.38","146,267,391"
08/02/2024,"535.75","536.99","528.60","532.90","82,789,070"
08/01/2024,"552.57","554.87","539.43","543.01","76,428,727"
07/31/2024,"548.98","553.50","547.58","550.81","65,663,391"
07/30/2024,"546.26","547.34","538.52","542.00","46,853,633"
07/29/2024,"546.02","547.05","542.72","544.76","39,515,820"
07/26/2024,"542.28","547.19","541.49","544.44","53,763,793"
07/25/2024,"541.35","547.46","537.45","538.41","61,158,289"
07/24/2024,"548.86","549.17","540.29","541.23","74,515,273"
07/23/2024,"554.54","556.74","553.28","553.78","34,439,559"
07/22/2024,"553.00","555.27","551.02","554.65","43,346,719"
07/19/2024,"552.42","554.08","547.91","548.99","65,509,078"
07/18/2024,"558.51","559.52","550.43","552.66","56,270,391"
07/17/2024,"558.80","560.51","556.61","556.94","57,118,961"
07/16/2024,"562.87","565.16","562.10","564.86","36,475,262"
07/15/2024,"562.03","564.84","559.63","561.53","40,584,289"
07/12/2024,"557.63","563.67","557.15","559.99","53,084,406"
07/11/2024,"561.44","562.33","555.83","556.48","53,054,180"
07/10/2024,"557.07","561.67","556.77","561.32","38,701,219"
07/09/2024,"556.26","557.18","555.52","555.82","27,314,131"
07/08/2024,"555.44","556.25","554.19","555.28","36,110,449"
07/05/2024,"551.77","555.05","551.12","554.64","41,488,391"
07/03/2024,"548.69","551.83","548.65","551.46","32,789,910"
07/02/2024,"543.70","549.01","543.65","549.01","40,434,793"
07/01/2024,"545.63","545.88","542.52","545.34","40,297,809"
06/28/2024,"547.16","550.28","542.95","544.22","76,144,547"
06/27/2024,"545.37","546.96","544.61","546.37","35,041,480"
06/26/2024,"543.69","546.24","543.03","545.51","38,550,641"
06/25/2024,"543.99","545.20","542.44","544.83","38,273,352"
06/24/2024,"544.33","546.95","542.62","542.74","45,528,648"
06/21/2024,"544.40","545.65","543.02","544.51","64,513,859"
06/20/2024,"549.44","550.12","545.18","547.00","70,328,234"
06/18/2024,"547.16","548.62","546.73","548.49","41,376,422"
06/17/2024,"542.08","548.53","541.61","547.10","55,839,461"
06/14/2024,"540.88","542.81","539.85","542.78","40,089,898"
06/13/2024,"543.15","543.33","539.59","542.45","44,760,953"
06/12/2024,"541.63","544.12","540.30","541.36","63,251,312"
06/11/2024,"534.07","537.01","532.05","536.95","36,383,406"
06/10/2024,"533.18","535.99","532.57","535.66","35,729,246"
06/07/2024,"533.66","536.89","532.54","534.01","43,224,527"
06/06/2024,"534.98","535.42","532.68","534.66","30,808,529"
06/05/2024,"530.77","534.69","528.73","534.67","47,610,367"
06/04/2024,"526.46","529.15","524.96","528.39","34,632,660"
06/03/2024,"529.02","529.31","522.60","527.80","46,835,699"
05/31/2024,"523.59","527.50","518.36","527.37","90,785,758"
05/30/2024,"524.52","525.20","521.33","522.61","46,468,512"
05/29/2024,"525.68","527.31","525.37","526.10","45,190,320"
05/28/2024,"530.27","530.51","527.11","529.81","36,269,602"
05/24/2024,"527.85","530.27","526.88","529.44","41,291,078"
05/23/2024,"532.96","533.07","524.72","525.96","57,211,199"
05/22/2024,"530.65","531.38","527.60","529.83","48,389,969"
05/21/2024,"529.28","531.52","529.07","531.36","33,437,000"
05/20/2024,"529.57","531.56","529.17","530.06","37,764,207"
05/17/2024,"528.81","529.52","527.32","529.45","59,187,594"
05/16/2024,"529.88","531.52","528.54","528.69","50,244,832"
05/15/2024,"525.83","530.08","525.18","529.78","59,504,898"
05/14/2024,"521.11","523.83","520.56","523.30","57,535,871"
05/13/2024,"522.56","522.67","519.74","520.91","36,716,359"
05/10/2024,"521.81","522.64","519.59","520.84","52,233,168"
05/09/2024,"517.38","520.21","516.71","520.17","43,643,672"
05/08/2024,"515.26","517.74","515.14","517.19","42,047,207"
05/07/2024,"517.56","518.57","516.45","517.14","52,561,301"
05/06/2024,"513.75","516.61","513.30","516.57","47,264,699"
05/03/2024,"511.16","512.55","508.56","511.29","72,756,711"
05/02/2024,"504.15","505.89","499.55","505.03","62,550,180"
05/01/2024,"501.38","508.19","499.87","500.35","80,242,844"
04/30/2024,"508.56","509.56","501.98","501.98","77,483,570"
04/29/2024,"510.09","510.75","507.25","510.06","46,415,449"
04/26/2024,"506.35","509.88","505.70","508.26","64,306,121"
04/25/2024,"499.18","504.27","497.49","503.49","69,122,367"
04/24/2024,"506.56","507.37","503.13","505.41","55,928,078"
04/23/2024,"501.78","506.09","499.53","505.65","64,633,621"
04/22/2024,"497.83","502.38","495.43","499.72","67,961,047"
04/19/2024,"499.44","500.46","493.86","495.16","102,212,602"
04/18/2024,"501.98","504.13","498.56","499.52","74,548,086"
04/17/2024,"506.05","506.22","499.12","500.55","75,910,312"
04/16/2024,"504.94","506.50","502.21","503.53","73,484,016"
04/15/2024,"515.13","515.30","503.58","504.45","92,101,445"
04/12/2024,"514.37","515.82","509.08","510.85","92,561,086"
04/11/2024,"515.68","519.48","512.08","518.00","70,099,008"
04/10/2024,"513.48","516.16","512.09","514.12","82,652,805"
04/09/2024,"520.50","520.75","514.35","519.32","68,124,391"
04/08/2024,"519.15","520.18","517.89","518.72","48,401,754"
04/05/2024,"514.46","520.44","514.01","518.43","74,546,477"
04/04/2024,"523.52","523.87","512.76","513.07","96,858,070"
04/03/2024,"517.72","520.95","517.67","519.41","59,155,762"
04/02/2024,"518.24","518.98","516.48","518.84","74,230,312"
04/01/2024,"523.83","524.38","520.97","522.16","62,477,539"
03/28/2024,"523.21","524.61","522.78","523.07","96,294,891"
03/27/2024,"521.71","523.21","519.49","523.17","82,999,773"
03/26/2024,"521.23","521.58","518.40","518.81","65,463,738"
03/25/2024,"519.80","520.95","519.61","519.77","48,512,113"
03/22/2024,"522.11","522.61","520.97","521.21","79,070,844"
03/21/2024,"523.39","524.11","521.91","522.20","60,256,113"
03/20/2024,"515.77","520.62","515.08","520.48","69,594,570"
03/19/2024,"512.15","516.00","511.12","515.71","60,755,262"
03/18/2024,"514.00","515.48","512.44","512.86","88,893,328"
03/15/2024,"510.21","511.70","508.12","509.83","107,646,305"
03/14/2024,"516.97","517.13","511.82","514.95","110,171,797"
03/13/2024,"517.11","517.29","514.49","515.97","55,104,090"
03/12/2024,"513.45","517.38","510.86","516.78","73,114,438"
03/11/2024,"510.48","511.88","508.50","511.28","62,557,180"
03/08/2024,"515.46","518.22","511.13","511.72","86,532,547"
03/07/2024,"513.14","515.89","509.81","514.81","58,652,090"
03/06/2024,"510.55","512.07","508.42","509.75","68,382,367"
03/05/2024,"510.24","510.70","504.91","507.18","72,855,617"
03/04/2024,"512.03","514.20","512.00","512.30","49,799,262"
03/01/2024,"508.98","513.29","508.56","512.85","76,844,844"
02/29/2024,"508.07","509.74","505.35","508.08","83,924,797"
02/28/2024,"505.33","506.86","504.96","506.26","56,506,633"
02/27/2024,"506.70","507.16","504.75","506.93","48,854,527"
02/26/2024,"508.30","508.75","505.86","505.99","50,386,738"
02/23/2024,"509.27","510.13","507.10","507.85","61,321,820"
02/22/2024,"504.01","508.49","503.02","507.50","76,402,547"
02/21/2024,"495.42","497.37","493.56","497.21","59,603,770"
02/20/2024,"497.72","498.41","494.45","496.76","71,736,734"
02/16/2024,"501.70","502.87","498.75","499.51","75,532,930"
02/15/2024,"499.29","502.20","498.80","502.01","61,682,961"
02/14/2024,"496.79","499.07","494.40","498.57","68,387,828"
02/13/2024,"494.53","497.09","490.72","494.08","113,099,203"
02/12/2024,"501.17","503.50","500.24","500.98","56,502,281"
02/09/2024,"498.84","501.65","498.49","501.20","63,979,379"
02/08/2024,"498.10","498.71","497.26","498.32","52,343,641"
02/07/2024,"496.29","498.53","495.36","498.10","70,556,516"
02/06/2024,"493.52","494.32","492.05","493.98","55,918,602"
02/05/2024,"493.70","494.38","490.23","492.55","75,757,102"
02/02/2024,"489.65","496.05","489.30","494.35","99,228,195"
02/01/2024,"484.63","489.23","483.80","489.20","91,891,641"
01/31/2024,"488.62","489.08","482.86","482.88","126,011,102"
01/30/2024,"490.56","491.62","490.11","490.89","58,618,391"
01/29/2024,"487.73","491.42","487.17","491.27","61,322,754"
01/26/2024,"487.59","489.12","486.54","487.41","76,641,609"
01/25/2024,"487.58","488.31","485.39","488.03","72,524,992"
01/24/2024,"487.81","488.77","484.88","485.39","81,765,039"
01/23/2024,"484.01","485.11","482.89","484.86","49,945,301"
01/22/2024,"484.01","485.22","482.78","483.45","75,844,930"
01/19/2024,"477.65","482.72","476.54","482.43","110,834,492"
01/18/2024,"474.01","477.06","472.42","476.49","91,856,250"
01/17/2024,"471.82","472.79","469.87","472.29","68,843,875"
01/16/2024,"475.26","476.61","473.06","474.93","85,014,875"
01/12/2024,"477.84","478.60","475.23","476.68","58,026,422"
01/11/2024,"477.59","478.12","472.26","476.35","77,940,719"
01/10/2024,"474.16","477.45","473.87","476.56","67,310,641"
01/09/2024,"471.87","474.93","471.35","473.88","65,931,438"
01/08/2024,"468.43","474.75","468.30","474.60","74,879,070"
01/05/2024,"467.49","470.44","466.43","467.92","86,118,914"
01/04/2024,"468.30","470.96","467.05","467.28","84,232,172"
01/03/2024,"470.43","471.19","468.17","468.79","103,585,906"
01/02/2024,"472.16","473.67","470.49","472.65","123,007,797"
